,Unnamed: 0,urls,captions,comments,likes,labels
0,0,https://scontent-sea1-1.cdninstagram.com/vp/7831adc9c2d624937ec8197b4affcded/5C76DA0B/t51.2885-15/e15/c181.0.718.718/s480x480/44904753_194498844802328_8238377254064471543_n.jpg?ig_cache_key=MTkxMjcyNTE4Njk1Njg2MzM4Mg%3D%3D.2.c,"Photo by @amivitale | Ntipiyon Nonguta and her son Bernard, one, relax with their neighbors as they make beaded belts for theLoisaba Community Trust in Ewaso Village in Laikipia, Kenya. These women are in a community surrounding Loisaba Conservancy (@loisaba_conservancy) and are being supported and given access to international markets. Revenue from ecotourism is reinvested into neighboring communities like #Ewaso . To get involved and learn more about community based conservation, please follow @loisaba_conservancy and @amivitale. @nature_org @natgeoimagecollection #kenya  #magicalkenya  #whyilovekenya  #northernkenya  #africa  #children  #mothersandsons  #mothers  #empowerment  #conservation  #everydayafrica  #photojournalism  #amivitale ",278,61459,"['people', 'public space', 'community', 'tribe', 'tree', 'travel', 'temple', 'recreation', 'tourism', 'crowd']"
1,1,https://scontent-sea1-1.cdninstagram.com/vp/53f7539662906933bbbce050cd4fdc2c/5BEF2CD7/t51.2885-15/e15/s640x640/45543088_970491189813847_3800824331312248168_n.jpg,"Video by @amivitale | Wild adult elephants drink and cool off at a watering on the Namunyak Wildlife Conservancy. An elephant’s trunk typically holds around half of a gallon of water, but a big bull elephant can hold as much as 2.5 gallons. After spraying themselves, the elephants will often coat themselves with dust which acts as a bug repellent and sunblock. Namunyak Wildlife Conservancy is home to Reteti Elephant Sanctuary (@r.e.s.c.u.e), the first ever community-owned and run elephant sanctuary in Africa. Reteti operates in partnership with Conservation International (@conservationorg) who provide critical operational support and work to scale the Reteti community-centered model to create lasting impacts worldwide. Follow @amivitale @conservationorg & @r.e.s.c.u.e to learn about the incredible work being done to protect and preserve these magical beings. @nrt_kenya @kenyawildlifeservice @sandiegozoo @tusk_org @thephotosociety @natgeo #namunyak  #protectelephants  #bekindtoelephants  #DontLetThemDisappear  #elephants  #saveelephants  #stoppoaching  #kenya  #northernkenya  #magicalkenya  #whyilovekenya  #africa  #everydayafrica  #natureisspeaking  #photojournalism  #amivitale ",362,83092,
2,2,https://scontent-sea1-1.cdninstagram.com/vp/1e4ff18aa09db5069b6e1c6e9e65eac0/5C6F3508/t51.2885-15/e15/s480x480/44577672_336304220507048_1738524933735107944_n.jpg?ig_cache_key=MTkxMjQyNTAwNDk3MzMzNTE0NQ%3D%3D.2,"Photo by George Steinmetz @geosteinmetz | Epic flying last week over the Pyramids of Giza. I had tried for years, and was turned down even with Egyptian military helicopters. Last week Egypt hosted the world paramotor championships, and suddenly the impossible happened. This is me, the last one to land at sunset. For a rare view of the pyramids from above, go to @geosteinmetz",431,136026,"['air sports', 'paragliding', 'landscape', 'sand', 'ecoregion', 'desert', 'powered paragliding', 'windsports', 'sahara', 'steppe']"
3,3,https://scontent-sea1-1.cdninstagram.com/vp/a43b38e630c9b7b76c93d76517e4882e/5C8A9361/t51.2885-15/e15/s480x480/42697363_1856252364473290_1258265168604898264_n.jpg?ig_cache_key=MTkxMjM1MDIwNDMwMDk5NzU5Mg%3D%3D.2,"Photo by @irablockphoto | A nighttime view from the top of the Old Town Bridge Tower of the Charles Bridge and Prague Castle along the banks of the Vltava River in Prague, Czech Republic. The Charles Bridge was constructed under King Charles IV of Bohemia starting in 1357 and was finished in the begging of the 15th century. The bridge is a very popular tourist destination especially at sunset and early evening when the city lights up. Prague Castle dates back to the ninth century and is still in use today - as the office of the president of the Czech Republic. It is rumored to be the largest ancient castle in the world, occupying 750,00 square feet (70,000 square meters) and housing St Vitus Cathedral. #followme  @irablockphoto to see more images from the world. - - - #praguecastle  #vltavariver  #prague  #czechrepublic  #charlesbridge  #kingcharlesIV  #praguecatle ",1934,304484,"['waterway', 'city', 'cityscape', 'reflection', 'sky', 'landmark', 'river', 'town', 'evening', 'dusk']"
4,4,https://scontent-sea1-1.cdninstagram.com/vp/d64d5d6cf6b350dd6271216386a27160/5C6B3B71/t51.2885-15/e15/s480x480/44358844_1497691817000978_8239499910752733768_n.jpg?ig_cache_key=MTkxMjMwMjQ0NjUxMjg0NDk0NQ%3D%3D.2,"Photo by Michael Yamashita @yamashitaphoto | High above the western Himalayas, meaning ‘abode of snow’ in Sanskrit, this massive mountain range contains some of the highest peaks on earth. It covers around 1,500 miles through the nations of India, Pakistan, Afghanistan, China, Bhutan, and Nepal. #himalayanmountains  #himalayas  #snowcovered ",907,413142,"['mountain range', 'mountainous landforms', 'massif', 'nunatak', 'geological phenomenon', 'arête', 'piste', 'aerial photography', 'glacial landform', 'ridge']"
5,5,https://scontent-sea1-1.cdninstagram.com/vp/db41fb199489c7d4819f128ad261179c/5C74024F/t51.2885-15/e15/c180.0.720.720/s480x480/44491464_537367040068950_8300206739177153797_n.jpg?ig_cache_key=MTkxMjIyNzUzODg1MjIxMjQ1NQ%3D%3D.2.c,"Photo by @PaulNicklen | It’s difficult to express what it is like to be in the company of an orca. I watch as it glides effortlessly through the blue ocean waters, and I feel totally at peace with this animal. But in this moment, there’s not only one orca, there are many. A family on the hunt. Orcas have become one of the most demonized marine animals, and I am always trying to steer people away from this impression by capturing the beauty and intelligence of these complex cetaceans. Right now, I am back in Norway to shine a light on the importance of this keystone species and its associated ecosystem. #FollowMe  at @PaulNicklen for photos from this expedition. #Norway  #orcas  #nature  #ocean ",1495,431621,"['marine mammal', 'whales dolphins and porpoises', 'mammal', 'water', 'marine biology', 'killer whale', 'dolphin', 'short beaked common dolphin', 'stenella', 'organism']"
6,6,https://scontent-sea1-1.cdninstagram.com/vp/7e649c30b5ed600e75599226cbdb093a/5C66CC23/t51.2885-15/e15/c0.89.720.720/s480x480/45784034_2095700600453195_1320961667845120179_n.jpg?ig_cache_key=MTkxMjE1Mjg1MzA3MDI3NzE0OQ%3D%3D.2.c,"Photo by @TimLaman | This is the third highest peak on the world’s second biggest island? Know where this is? The island is New Guinea, a rugged, mountainous, rain forest covered island, second biggest in the world after Greenland and the biggest tropical island, and split between the countries of Papua New Guinea in the east, and the western half which is part of Indonesia, including the provinces of Papua and West Papua. The peak is Peak Trikora, 4730 meters (15,580 ft) tall, and only a little less than Carstenz Pyramid, the highest peak on the island at 4884 meters (16023 ft), both of which are in the Indonesian half of the island. Most people have no idea there are such big mountains on New Guinea so close to the equator… the range of habitats created from the tropical lowlands to the alpine zone contributes to the incredible biodiversity of New Guinea. #NewGuinea  #Papua . See more from this remote part of #Indonesia  by following @TimLaman",433,253932,"['highland', 'mountain', 'mountainous landforms', 'ridge', 'badlands', 'sky', 'wilderness', 'fell', 'escarpment', 'national park']"
7,7,https://scontent-sea1-1.cdninstagram.com/vp/afc35219e3bf7fa7c46c65f19414485b/5C7B8B6B/t51.2885-15/e15/c0.133.1080.1080/s480x480/44272916_258814281653744_9164298019903080230_n.jpg?ig_cache_key=MTkxMjA3ODExMzQ3NTY1Mjg3NA%3D%3D.2.c,"Photo by @michaelchristopherbrown | Thousands of Jews visited the Cave of the Patriarchs, known to Muslims as the Ibrahimi Mosque, in the West Bank city of Hebron on September 25, during the Jewish holiday of Sukkot. Revered by both Jews and Muslims, the site is believed to be the oldest continuously used intact prayer structure in the world, containing the burial sites of the Patriarchs and Matriarchs of the Jewish People. The Arabic name of the complex reflects the prominence given to Abraham, revered by Muslims as a Quranic prophet and a patriarch through Ishmael. After the 1994 massacre of 29 Palestinian worshippers inside the mosque by Baruch Goldstein, an American-Israeli physician and religious extremist, Israeli authorities divided the mosque complex between Jewish and Muslim worshippers. Hebron is home to roughly 150,000 Palestinian Muslims and 700 Jewish settlers, the latter living in a series of Jewish-only enclaves guarded by Israeli troops.",2903,222257,"['black and white', 'infrastructure', 'crowd', 'monochrome photography', 'street', 'monochrome', 'temple', 'religion']"
8,8,https://scontent-sea1-1.cdninstagram.com/vp/2ed7529eb94870b7dba293da6b0e8e89/5BEEE4CF/t51.2885-15/e15/s640x640/45287874_154771288817611_3643828875775011506_n.jpg,"Video by @pedromcbride | Balancing Act: A day of traffic on the flank of America’s most iconic national park. I created this time-lapse merge to show what loving a place to death visually looks like. In eight hours on an average Tuesday, my camera captured 263 helicopter flights and some 40 boat rides on the southwest boundary of Grand Canyon National Park. This wave of industrial tourism creates financial stability for the neighboring tribal community but raises questions of safety, noise, and park protection. You can learn more about this project and its lates content @pedromcbride. #grandcanyon  #betweenriverandrim  #nature  #access  #balance  #conservation  #petemcbride ",590,100128,
9,9,https://scontent-sea1-1.cdninstagram.com/vp/d75a7a74c044753b78a53d02e21c7d24/5C7B1D34/t51.2885-15/sh0.08/e35/s750x750/45632499_360408934731730_5722223001821667097_n.jpg?ig_cache_key=MTkxMTY5OTkxMjQyOTQ0NTQ0Mg%3D%3D.2,"Photo by @simoncroberts | Visitors to the Ttukseom Hangang Park, an urban green space in Seoul, sit in the shade of a motorway overpass. Hangang, also known as the Han River, is the main body of water that runs through the middle of the capital city of South Korea. As in many cities, urban planners in Seoul have realized the significance of parks and green spaces to help combat issues of air pollution, improve public health, and to meet demands for increased leisure time. Follow @simoncroberts to see more photographs from this series and other works. #SimonRoberts  #TtukseomPark  #Hangang  #SouthKorea  #Seoul  #urbanlandscapes  #urbanparks ",559,157608,"['plant', 'tree', 'recreation', 'city', 'leisure', 'park', 'vehicle', 'sky', 'grass', 'tourism']"
