,date,author,quote,comment
0,June 2014,Kirstie_H,No Quote,"This is the all-new continuation of ""Stories from the Sales Frontlines."" The focus of that discussion has evolved over the years, so we're making the title more inclusive, asking members to post stories from the perspective of each side of the transaction."
1,June 2014,graphicguy,No Quote,I'm 2nd post....yee haw!!!!!!!!
2,June 2014,bwia,No Quote,Do I get a badge?
3,June 2014,imidazol97,"@bwia said:
Great, but will it be possible to refer to old thread?
And one more thing how do I find and add a discussion to ""My Bookmarks?""","Great, but will it be possible to refer to old thread?"
4,June 2014,stickguy,No Quote,"And one more thing how do I find and add a discussion to ""My Bookmarks?"""
5,June 2014,bwia,"@stickguy said:
if you want to bookmark this one, there is a little 5 point star next to the title up above. just click that and it turns yellow.","If you have posted in that discussion, click on ""Participated"" and all your past post topics are chronologically listed."
6,June 2014,bwia,"@imidazol97 said:
If you have posted in that discussion, click on ""Participated"" and all your past post topics are chronologically listed.","If you are looking for a brand or model or a keyword, use the ""Car forums"" link at the top left of this page to get some ways of searching for models, brands, keywords, or poster names."
7,June 2014,Kirstie_H,"@graphicguy said:
I'm 2nd post....yee haw!!!!!!!!
Do I get a badge?","if you want to bookmark this one, there is a little 5 point star next to the title up above. just click that and it turns yellow."
8,June 2014,cdnpinhead,No Quote,"Thanks @stickguy, it worked like a charm."
9,June 2014,graphicguy,"@Kirstie_H said:
No, but it's almost like you're famous. Just think, if this discussion goes on for years and years like the other did, visitors loading this discussion for the very first time will see YOUR name associated with the first member post. And I gave you a ""like.""",Thanks imidazol97. I will try that later but stickguy's approach works for me.
10,June 2014,ab348,"@Kirstie_H said:
This is the all-new continuation of ""Stories from the Sales Frontlines."" The focus of that discussion has evolved over the years, so we're making the title more inclusive, asking members to post stories from the perspective of each side of the transaction.",Thanks for that. While this new board loads faster it just seems a little cumbersome and not very user friendly.
11,June 2014,ab348,"@bwia said:
Thanks for that. While this new board loads faster it just seems a little cumbersome and not very user friendly.","No, but it's almost like you're famous. Just think, if this discussion goes on for years and years like the other did, visitors loading this discussion for the very first time will see YOUR name associated with the first member post. And I gave you a ""like."""
12,June 2014,mako1a,No Quote,Re: the old discussion. I'm not sure what will become of it. This is the first one we're retiring on the new platform. Hopefully it can be archived.
13,June 2014,laurasdada,"@graphicguy said:
WOW! I'm almost famous....... Thanks......","Okay, here am I also. Now I need to add this to what shows up on my list."
14,June 2014,Michaell,"@ab348 said:
Wow, that's a throwback to the old, old, old board software (Well Engaged? I forget its name) where you had to do this all the time to keep a discussion going after a certain number of posts.
The more things change...",Looks like I've done it.
15,June 2014,kyfdx,No Quote,"Something tells me we won't get to 100K on this one anytime soon, but one never knows."
16,June 2014,houdini1,No Quote,WOW! I'm almost famous....... Thanks......
17,June 2014,imidazol97,No Quote,"Wow, that's a throwback to the old, old, old board software (Well Engaged? I forget its name) where you had to do this all the time to keep a discussion going after a certain number of posts."
18,June 2014,graphicguy,"@laurasdada said:
Well, you may be almost famous. But are you a golden god, Tiny Dancer?",The more things change...
19,June 2014,stever,No Quote,Agreed. It is very dumb and complex at the same time.
20,June 2014,laurasdada,"@kyfdx@Edmunds said:
Anyone have an actual story about buying or selling a car?",We don't even have a page number yet. Talk about NEW!
21,June 2014,graphicguy,No Quote,"Well, you may be almost famous. But are you a golden god, Tiny Dancer?"
22,June 2014,Kirstie_H,"@Michaell said:
IIRC, the limit then was pretty small (1000 posts?). At least with 100K posts before we have to close it down it will take some time.","Having been through the archives just a few months ago, I saw all the discussions 'blah blah blah #6' and 'blah blah blah #7', where post #1 was a canned statement from the (then) host about this being a continuation."
23,June 2014,driver100,No Quote,"IIRC, the limit then was pretty small (1000 posts?). At least with 100K posts before we have to close it down it will take some time. If we average 25 posts a day, that's about 9000 a year - would take 11 years to get to 100K posts again."
24,June 2014,kyfdx,"@imidazol97 said:
We were discussing what is the real invoice number. I believe the invoice numbers have been raised such as those shown in Edmunds to fool the purchaser. It's my feeling profit margin at least double that indicated by the reported invoice. I operated on that basis negotiating my Malibu purchase.","C'mon, people, I'm sure we can average more than 25 a day."
25,June 2014,imidazol97,No Quote,Anyone have an actual story about buying or selling a car?
26,June 2014,stickguy,No Quote,Minnie Pearl
27,June 2014,stickguy,No Quote,"""I'm just so proud to be here"" !! Probably not many will remember that one. At least I got on the first page."
28,June 2014,imidazol97,"@stickguy said:
speaking of missing money, recently someone that works with my wife said she saw out name on the NJ missing funds list",We were discussing what is the real invoice number. I believe the invoice numbers have been raised such as those shown in Edmunds to fool the purchaser. It's my feeling profit margin at least double that indicated by the reported invoice. I operated on that basis negotiating my Malibu purchase.
29,June 2014,ab348,No Quote,LD....got the reference!!!!!
30,June 2014,imidazol97,No Quote,"I bought one and sold two in the last 3 weeks. One sold with a sign on it and the other one went to a craigslist responder an hour out of town. The used van we bought came from a dealer 20 minutes away after we did a three day road trip down to Wisconsin and test drove eight or so new cars down there, and tested another 4 or 5 vans within an hour of home."
31,June 2014,jsyodes,No Quote,"Wait, this discussion is limited to buying and selling cars?!?! No razors, washing machines, air conditioners, etc? I am outta here."
32,June 2014,stever,No Quote,"I made an offer on a house last night...er, on topic, it has a two car garage and I only have one car at the moment. On the way to lunch with the realtor, we passed by a BRGish used Miata with a tan top. If we were already living here (Las Cruces), I would have grabbed the phone number."
33,June 2014,abacomike,No Quote,Have seen a dozen or so convertibles in the last couple of days but only two had the tops down.
34,June 2014,Michaell,"@stever said:
I made an offer on a house last night...er, on topic, it has a two car garage and I only have one car at the moment. On the way to lunch with the realtor, we passed by a BRGish used Miata with a tan top. If we were already living here (Las Cruces), I would have grabbed the phone number.
Have seen a dozen or so convertibles in the last couple of days but only two had the tops down.",Congrats on the (potential) new house!
35,June 2014,bwia,No Quote,Was it perhaps too hot to have the tops down on the convertibles?
36,June 2014,stickguy,No Quote,An exotic purchase may be coming soon
37,June 2014,kyfdx,No Quote,In an earlier post I mentioned that I was considering ordering a used car directly from Japan for my Caribbean home. I am using a local broker and he sent me the below link.
38,June 2014,bwia,"@kyfdx@Edmunds said:
Nothing to buy that's already on the island?","I went through the website and this white 1999 automatic, two-door, 4WD model caught my eye. It looks clean inside and out, especially the headlights. The mileage at 60,800 miles seems very reasonable. Price, including cost, insurance, and freight (CIF) US$ 4,600. http://www.picknbuy24.com/detail/TOYOTA/RAV4/16859.html"
39,June 2014,graphicguy,No Quote,"Like *Driver100, I want to have my own wheels rather than spend $70.00 a day on rentals. It's a risk but one I am willing to take."
40,June 2014,robr2,"@graphicguy said:
But, just as a ""for example"", if you bought a new car, you pay 130% of the U.S. retail. Hmmmn...no wonder everyone drives mopeds/scooters and teeny cars there.",Any thoughts?
41,June 2014,stickguy,No Quote,Looks nice enough. And not all that pricey.
42,June 2014,abacomike,No Quote,Nothing to buy that's already on the island?
43,June 2014,justg0,"@kyfdx@Edmunds said:
I think it's been that way for a long time, though it may be getting worse. For instance, BMWs don't have ""holdback"", but it's common knowledge that there is 5% of invoice of back-end money that BMW pays the dealer (which varies by CSI scores and volume)..","Yes, but it would be twice as expensive."
44,June 2014,graphicguy,"@robr2 said:
It's more than that - it's a 150% tax and each household is allowed to own only 1 car. There's also an annual road tax based on the vehicle size that ranges from $250 to $1600 a year. The goal of course is to reduce congestion. It's a tiny island.","Interesting to note, while we were in Bermuda last week (absolutely beautiful place, with wonderful people living there, BTW), I struck up a conversation with a person on the water taxi who has lived in Bermuda all his life."
45,June 2014,laurasdada,No Quote,"He said they don't have a personal income tax on the island. But, just as a ""for example"", if you bought a new car, you pay 130% of the U.S. retail. Hmmmn...no wonder everyone drives mopeds/scooters and teeny cars there."
46,June 2014,graphicguy,No Quote,It's more than that - it's a 150% tax and each household is allowed to own only 1 car. There's also an annual road tax based on the vehicle size that ranges from $250 to $1600 a year. The goal of course is to reduce congestion. It's a tiny island.
47,June 2014,stever,"@Michaell said:
Was it perhaps too hot to have the tops down on the convertibles?",Been there 3 times. You really don't need a car.
48,June 2014,sterlingdog,No Quote,>
49,June 2014,laurasdada,@graphicguy said:,"The salesperson I dealt with at BMW said that the back-end money goes to the owner at year end, but it doesn't make it way down to the sales team. Is that correct?"
50,June 2014,imidazol97,"@sterlingdog said:
My claim to fame on this new site will be the fact that I arrived here all by myself and even bookmarked it successfully. As most of you know, this is quite a feat for me!","In order to sell the car at invoice, he wanted to make sure I give them all 10s in the survey, which I guess helps them with some bonuses?"
51,June 2014,abacomike,No Quote,And also the GM wanted to make sure I name our next child or grandchild after him
52,June 2014,stickguy,No Quote,We had no problem whatsoever getting around on their public busses and water taxis. I can see where no car is needed....maybe the scooters would be a nice convenience.
