date,username,comment
"June 18, 2014  3:53PM",graphicguy, i'm 2nd post....yee haw!!!!!!!! do i get a badge?
"June 18, 2014  4:01PM",bwia," great, but will it be possible to refer to old thread? and one more thing how do i find and add a discussion to ""my bookmarks?"""
"June 18, 2014  4:08PM",imidazol97," if you have posted in that discussion, click on ""participated"" and all your past post topics are chronologically listed. if you are looking for a brand or model or a keyword, use the ""car forums"" link at the top left of this page to get some ways of searching for models, brands, keywords, or poster names."
"June 18, 2014  4:21PM",stickguy," if you want to bookmark this one, there is a little 5 point star next to the title up above.  just click that and it turns yellow."
"June 18, 2014  4:43PM",bwia," thanks , it worked like a charm."
"June 18, 2014  4:49PM",bwia, thanks imidazol97. i will try that later but stickguy's approach works for me. thanks for that. while this new board loads faster it just seems a little cumbersome and not very user friendly.
"June 18, 2014  4:51PM",Kirstie_H," no, but it's almost like you're famous.  just think, if this discussion goes on for years and years like the other did, visitors loading this discussion for the very first time will see your name associated with the first member post.  and i gave you a ""like."" re the old discussion.  i'm not sure what will become of it.  this is the first one we're retiring on the new platform.  hopefully it can be archived."
"June 18, 2014  5:35PM",cdnpinhead," okay, here am i also.  now i need to add this to what shows up on my list. looks like i've done it. something tells me we won't get to 100k on this one anytime soon, but one never knows."
"June 18, 2014  5:39PM",graphicguy, wow!  i'm almost famous....... thanks......
"June 18, 2014  5:50PM",ab348," wow, that's a throwback to the old, old, old board software (well engaged? i forget its name) where you had to do this all the time to keep a discussion going after a certain number of posts. the more things change..."
"June 18, 2014  5:51PM",ab348, agreed. it is very dumb and complex at the same time.
"June 18, 2014  6:18PM",mako1a, we don't even have a page number yet. talk about new!
"June 18, 2014  6:25PM",laurasdada," well, you may be almost famous.  but are you a golden god, tiny dancer?"
"June 18, 2014  6:34PM",Michaell," having been through the archives just a few months ago, i saw all the discussions 'blah blah blah #6' and 'blah blah blah #7', where post #1 was a canned statement from the (then) host about this being a continuation. iirc, the limit then was pretty small (1000 posts?). at least with 100k posts before we have to close it down it will take some time. if we average 25 posts a day, that's about 9000 a year - would take 11 years to get to 100k posts again. c'mon, people, i'm sure we can average more than 25 a day."
"June 18, 2014  6:40PM",kyfdx, anyone have an actual story about buying or selling a car?
"June 18, 2014  6:41PM",houdini1," minnie pearl ""i'm just so proud to be here"" !!  probably not many will remember that one. at least i got on the first page."
"June 18, 2014  6:50PM",imidazol97, we were discussing what is the real invoice number. i believe the invoice numbers have been raised such as those shown in edmunds to fool the purchaser. it's my feeling profit margin at least double that indicated by the reported invoice. i operated on that basis negotiating my chevrolet purchase.
"June 18, 2014  7:17PM",graphicguy, ld....got the reference!!!!!
"June 18, 2014  8:04PM",stever," i bought one and sold two in the last 3 weeks. one sold with a sign on it and the other one went to a craigslist responder an hour out of town. the used van we bought came from a dealer 20 minutes away after we did a three day road trip down to wisconsin and test drove eight or so new car down there, and tested another 4 or 5 vans within an hour of home. i almost lost the local sale of my '97 outback. the buyer saw the sign, drove the car and went home and raided his strongbox, all within an hour. then i screwed up the title and had to wait until the next morning to talk to dmv (the joys of a small town, no line and the woman fixed it in 2 minutes). meanwhile the buyer was having a little remorse and thought he heard a wheel bearing noise. so i knocked $100 off and since then i've seen him cruising around a lot. he claimed he was going to check it out and then give it to his daughter, but the way he had shined it up, i bet he keeps it for himself. it was a great winter ride. the van ""sold"" sight unseen and while i was waiting for the buyer to drive the hour to my house to pick it up, i could have sold it to a local guy that was sort of a distant relation. that after it had been on craigslist a week and on the street with a sign on it for several days with zero interest. go figure."
"June 18, 2014  8:11PM",laurasdada," not yet.  but, i could retell my fabulous jos a. bank story! if only i had cashed in my 401k/ira prior to the greenwich concours..."
